origin,destination,fast_product_quantity,normal_product_quantity
node_01_B,node_02_B,104,2260
node_01_B,node_02_C,130,3633
node_01_B,node_02_A,56,1535
node_01_B,node_03_B,21,338
node_01_B,node_03_C,31,365
node_01_B,node_03_A,13,277
node_01_B,node_04_B,829,14827
node_01_B,node_04_C,120,3270
node_01_B,node_04_A,192,5459
node_01_B,node_05_B,72,2961
node_01_B,node_05_C,13,821
node_01_B,node_06_B,47,1249
node_01_B,node_06_C,6,306
node_01_B,node_06_A,24,788
node_01_B,node_07_B,17,647
node_01_B,node_07_C,23,1154
node_01_B,node_08_B,210,4663
node_01_B,node_08_C,30,1139
node_01_B,node_08_A,73,557
node_01_B,node_09_B,102,1942
node_01_B,node_09_C,67,1301
node_01_B,node_09_A,71,967
node_01_B,node_10_B,32,460
node_01_B,node_10_C,17,284
node_01_B,node_10_A,31,409
node_01_B,node_11_B,62,811
node_01_B,node_11_C,82,920
node_01_B,node_11_A,130,1314
node_01_B,node_12_B,48,2226
node_01_B,node_12_C,41,1648
node_01_B,node_12_A,65,1390
node_01_B,node_13_B,12,255
node_01_B,node_13_C,8,159
node_01_B,node_13_A,34,340
node_01_B,node_14_B,8,12202
node_01_B,node_14_C,0,2976
node_01_B,node_14_A,1,3308
node_01_B,node_15_B,154,806
node_01_B,node_15_C,136,629
node_01_B,node_15_A,87,203
node_01_B,node_16_B,59,1942
node_01_B,node_16_C,13,1096
node_01_B,node_16_A,40,1835
node_01_B,node_17_B,36,406
node_01_B,node_17_C,33,469
node_01_B,node_17_A,16,192
node_01_B,node_18_B,4,174
node_01_B,node_18_C,0,122
node_01_B,node_18_A,12,352
node_01_B,node_19_B,4,35
node_01_B,node_19_C,1,29
node_01_B,node_19_A,29,88
node_01_B,node_20_B,280,1750
node_01_B,node_20_C,140,1685
node_01_B,node_20_A,45,766
node_01_B,node_21_B,47,260
node_01_B,node_21_C,49,381
node_01_B,node_21_A,29,177
node_01_B,node_22_B,31,858
node_01_B,node_22_C,34,887
node_01_B,node_22_A,94,1457
node_01_B,node_23_B,22,1250
node_01_B,node_23_C,68,3142
node_01_B,node_23_A,111,4222
node_01_B,node_24_B,3,14
node_01_B,node_24_C,3,10
node_01_B,node_24_A,6,18
node_01_B,node_25_B,80,208
node_01_B,node_25_C,39,385
node_01_B,node_25_A,52,125
node_01_B,node_26_B,10,526
node_01_B,node_26_C,37,1471
node_01_B,node_26_A,38,1317
node_01_B,node_27_B,6,11499
node_01_B,node_27_C,8,8074
node_01_B,node_27_A,0,5440
node_01_C,node_02_B,122,2090
node_01_C,node_02_C,132,3501
node_01_C,node_02_A,65,1537
node_01_C,node_03_B,40,466
node_01_C,node_03_C,59,540
node_01_C,node_03_A,57,300
node_01_C,node_04_B,958,14406
node_01_C,node_04_C,134,2570
node_01_C,node_04_A,302,5230
node_01_C,node_05_B,73,2190
node_01_C,node_05_C,20,575
node_01_C,node_06_B,50,1390
node_01_C,node_06_C,14,346
node_01_C,node_06_A,35,622
node_01_C,node_07_B,26,405
node_01_C,node_07_C,41,675
node_01_C,node_08_B,231,3787
node_01_C,node_08_C,33,1071
node_01_C,node_08_A,108,602
node_01_C,node_09_B,160,3595
node_01_C,node_09_C,137,2581
node_01_C,node_09_A,107,1683
node_01_C,node_10_B,48,485
node_01_C,node_10_C,31,275
node_01_C,node_10_A,43,398
node_01_C,node_11_B,87,1207
node_01_C,node_11_C,72,1473
node_01_C,node_11_A,142,1801
node_01_C,node_12_B,72,2008
node_01_C,node_12_C,57,1361
node_01_C,node_12_A,86,1101
node_01_C,node_13_B,22,466
node_01_C,node_13_C,13,237
node_01_C,node_13_A,41,514
node_01_C,node_14_B,13,18674
node_01_C,node_14_C,2,4445
node_01_C,node_14_A,5,3721
node_01_C,node_15_B,242,879
node_01_C,node_15_C,189,601
node_01_C,node_15_A,114,216
node_01_C,node_16_B,84,977
node_01_C,node_16_C,32,482
node_01_C,node_16_A,44,697
node_01_C,node_17_B,47,512
node_01_C,node_17_C,34,551
node_01_C,node_17_A,17,213
node_01_C,node_18_B,6,195
node_01_C,node_18_C,3,159
node_01_C,node_18_A,20,402
node_01_C,node_19_B,9,22
node_01_C,node_19_C,2,17
node_01_C,node_19_A,44,65
node_01_C,node_20_B,385,2896
node_01_C,node_20_C,176,2718
node_01_C,node_20_A,62,1069
node_01_C,node_21_B,60,208
node_01_C,node_21_C,75,398
node_01_C,node_21_A,43,190
node_01_C,node_22_B,38,768
node_01_C,node_22_C,44,936
node_01_C,node_22_A,143,2097
node_01_C,node_23_B,26,766
node_01_C,node_23_C,60,1862
node_01_C,node_23_A,160,2643
node_01_C,node_24_B,3,2
node_01_C,node_24_C,0,2
node_01_C,node_24_A,11,3
node_01_C,node_25_B,86,101
node_01_C,node_25_C,58,25
node_01_C,node_25_A,81,43
node_01_C,node_26_B,19,417
node_01_C,node_26_C,51,1253
node_01_C,node_26_A,43,727
node_01_C,node_27_B,5,17193
node_01_C,node_27_C,5,12928
node_01_C,node_27_A,1,8800
node_01_A,node_02_B,100,1326
node_01_A,node_02_C,89,2223
node_01_A,node_02_A,63,1019
node_01_A,node_03_B,18,396
node_01_A,node_03_C,23,401
node_01_A,node_03_A,23,482
node_01_A,node_04_B,724,9765
node_01_A,node_04_C,101,1716
node_01_A,node_04_A,201,3819
node_01_A,node_05_B,77,1421
node_01_A,node_05_C,14,329
node_01_A,node_06_B,26,944
node_01_A,node_06_C,4,211
node_01_A,node_06_A,34,474
node_01_A,node_07_B,20,295
node_01_A,node_07_C,25,620
node_01_A,node_08_B,151,3059
node_01_A,node_08_C,22,734
node_01_A,node_08_A,79,587
node_01_A,node_09_B,105,1928
node_01_A,node_09_C,84,1500
node_01_A,node_09_A,104,1188
node_01_A,node_10_B,24,354
node_01_A,node_10_C,11,204
node_01_A,node_10_A,33,361
node_01_A,node_11_B,58,978
node_01_A,node_11_C,77,1121
node_01_A,node_11_A,185,1606
node_01_A,node_12_B,66,1340
node_01_A,node_12_C,40,998
node_01_A,node_12_A,95,955
node_01_A,node_13_B,11,336
node_01_A,node_13_C,3,195
node_01_A,node_13_A,28,430
node_01_A,node_14_B,9,10289
node_01_A,node_14_C,0,2567
node_01_A,node_14_A,0,2620
node_01_A,node_15_B,143,664
node_01_A,node_15_C,105,460
node_01_A,node_15_A,107,230
node_01_A,node_16_B,54,859
