origin,des,type,size,flow,extra,dis
node_22_C,node_06_A,Fast,9,1,1,3
node_27_C,node_11_B,Fast,752,1,1,4
node_11_C,node_02_A,Fast,68,1,1,3
node_08_A,node_19_B,Fast,7,1,1,2
node_13_A,node_17_A,Fast,23,1,1,1
node_12_B,node_14_C,Fast,110,1,1,4
node_12_A,node_16_B,Fast,92,1,1,2
node_13_B,node_20_A,Fast,20,1,1,3
node_07_C,node_03_B,Fast,12,1,1,4
node_03_A,node_17_C,Fast,34,1,1,2
node_21_C,node_18_C,Fast,1,1,1,4
node_20_A,node_04_B,Fast,691,1,0,2
node_07_C,node_25_C,Fast,13,1,1,4
node_02_A,node_19_B,Fast,4,1,1,2
node_22_A,node_13_B,Fast,46,1,1,2
node_08_A,node_05_C,Fast,36,1,1,2
node_22_C,node_24_A,Fast,3,1,1,3
node_26_C,node_09_A,Fast,35,1,1,3
node_01_B,node_11_C,Fast,82,1,1,4
node_24_A,node_11_C,Fast,13,1,0,2
node_27_B,node_10_A,Fast,399,1,1,3
node_24_B,node_01_B,Fast,1,1,0,4
node_13_C,node_08_C,Fast,7,1,1,4
node_27_A,node_19_A,Fast,187,1,1,1
node_21_C,node_15_A,Fast,21,1,1,3
node_24_A,node_02_A,Fast,12,1,0,1
node_14_B,node_27_B,Fast,325,1,1,4
node_08_A,node_25_A,Fast,120,1,1,1
node_12_B,node_23_C,Fast,50,1,1,4
node_04_C,node_02_A,Fast,366,1,1,3
node_15_B,node_25_B,Fast,30,1,1,4
node_10_B,node_14_B,Fast,308,1,0,4
node_03_B,node_20_A,Fast,6,1,1,3
node_18_B,node_08_A,Fast,10,1,0,3
node_08_B,node_11_C,Fast,255,1,1,4
node_23_A,node_14_A,Fast,557,1,0,1
node_22_A,node_17_C,Fast,146,1,1,2
node_22_B,node_15_C,Fast,15,1,1,4
node_19_B,node_24_A,Fast,3,1,1,3
node_07_B,node_03_B,Fast,6,1,1,4
node_12_A,node_11_C,Fast,193,1,1,2
node_26_C,node_05_C,Fast,30,1,1,4
node_11_B,node_08_C,Fast,27,1,1,4
node_22_C,node_23_B,Fast,19,1,1,4
node_08_B,node_15_B,Fast,360,1,1,4
node_03_A,node_19_B,Fast,7,1,1,2
node_02_C,node_21_C,Fast,438,1,1,4
node_03_C,node_22_C,Fast,26,1,1,4
node_18_A,node_27_A,Fast,40,1,0,1
node_02_C,node_18_C,Fast,25,1,1,4
node_14_C,node_01_A,Fast,30,1,1,3
node_16_A,node_20_B,Fast,580,1,0,2
node_08_B,node_03_A,Fast,191,1,1,3
node_01_C,node_14_C,Fast,2,1,1,4
node_04_C,node_03_A,Fast,102,1,1,3
node_12_A,node_15_B,Fast,297,1,0,2
node_21_C,node_09_C,Fast,47,1,1,4
node_13_C,node_12_B,Fast,6,1,1,4
node_11_C,node_08_C,Fast,34,1,1,4
node_19_B,node_11_C,Fast,2,1,1,4
node_10_C,node_14_B,Fast,115,1,0,4
node_03_A,node_09_C,Fast,31,1,1,2
node_08_C,node_11_B,Fast,25,1,1,4
node_24_A,node_03_C,Fast,24,1,0,2
node_23_C,node_03_A,Fast,31,1,1,3
node_03_C,node_25_B,Fast,75,1,0,4
node_11_B,node_03_B,Fast,26,1,1,4
node_14_C,node_26_A,Fast,106,1,1,3
node_02_A,node_14_C,Fast,180,1,0,2
node_22_A,node_27_A,Fast,340,1,0,1
node_25_B,node_21_B,Fast,29,1,1,4
node_09_A,node_16_B,Fast,95,1,1,2
node_01_C,node_07_C,Fast,41,1,1,4
node_17_A,node_18_B,Fast,5,1,1,2
node_03_B,node_02_C,Fast,11,1,1,4
node_13_C,node_04_C,Fast,14,1,1,4
node_10_C,node_09_A,Fast,11,1,1,3
node_17_C,node_18_C,Fast,2,1,1,4
node_23_A,node_15_A,Fast,201,1,1,1
node_17_A,node_26_B,Fast,3,1,1,2
node_09_C,node_18_B,Fast,11,1,1,4
node_06_A,node_09_C,Fast,39,1,1,2
node_22_A,node_19_B,Fast,28,1,1,2
node_20_C,node_07_B,Fast,60,1,1,4
node_15_B,node_22_C,Fast,19,1,1,4
node_08_C,node_25_B,Fast,164,1,1,4
node_18_C,node_08_A,Fast,1,1,1,3
node_14_C,node_09_C,Fast,131,1,1,4
node_05_B,node_24_A,Fast,9,1,1,3
node_05_B,node_23_B,Fast,46,1,1,4
node_10_A,node_21_C,Fast,83,1,1,2
node_01_A,node_06_C,Fast,4,1,1,2
node_22_C,node_13_B,Fast,7,1,1,4
node_09_B,node_06_A,Fast,51,1,1,3
node_12_A,node_02_B,Fast,193,1,1,2
node_23_C,node_02_A,Fast,117,1,1,3
node_07_B,node_16_B,Fast,82,1,0,4
node_22_B,node_02_A,Fast,8,1,1,3
node_24_A,node_10_A,Fast,5,1,0,1
node_21_C,node_01_B,Fast,24,1,1,4
node_18_B,node_11_C,Fast,6,1,1,4
node_26_A,node_23_C,Fast,214,1,0,2
node_11_C,node_08_A,Fast,89,1,1,3
node_17_C,node_24_A,Fast,1,1,1,3
node_05_B,node_10_A,Fast,46,1,1,3
node_17_A,node_16_C,Fast,50,1,0,2
node_18_C,node_01_A,Fast,3,1,1,3
node_04_A,node_14_B,Fast,5462,1,0,2
node_26_A,node_25_C,Fast,36,1,1,2
node_05_C,node_06_C,Fast,15,1,1,4
node_20_A,node_17_B,Fast,60,1,1,2
node_19_C,node_11_C,Fast,1,1,1,4
node_08_B,node_18_A,Fast,128,1,1,3
node_27_B,node_21_C,Fast,781,1,1,4
node_09_B,node_26_B,Fast,23,1,1,4
node_04_A,node_25_C,Fast,617,1,1,2
node_24_B,node_23_B,Fast,5,1,0,4
