ID,code,plan,cnt,fast_product_quantity,normal_product_quantity
1,node_01_A,"(node_01_A,node_23_A)¡¢(node_01_C,node_23_A)¡¢(node_01_B,node_23_A)",1,453,0
2,node_01_A,"(node_01_A,node_23_A)",1,0,2390
3,node_01_A,"(node_01_A,node_10_C)¡¢(node_01_C,node_10_C)¡¢(node_01_B,node_10_C)",1,0,763
4,node_01_A,"(node_01_A,node_27_A)",1,0,4568
5,node_01_A,"(node_01_A,node_15_C)¡¢(node_01_C,node_15_C)¡¢(node_01_B,node_15_C)",1,430,0
6,node_01_A,"(node_01_A,node_15_C)¡¢(node_01_C,node_15_C)¡¢(node_01_B,node_15_C)",1,0,1690
7,node_01_A,"(node_01_A,node_14_A)",1,0,2620
8,node_01_A,"(node_01_C,node_11_A)¡¢(node_01_A,node_11_A)¡¢(node_01_B,node_11_A)",1,457,0
9,node_01_A,"(node_01_A,node_11_A)",1,0,1606
10,node_01_A,"(node_01_A,node_13_A)¡¢(node_01_C,node_13_A)¡¢(node_01_B,node_13_A)",1,0,1284
11,node_01_A,"(node_01_C,node_15_B)¡¢(node_01_B,node_15_B)¡¢(node_01_A,node_15_B)",1,539,0
12,node_01_A,"(node_01_B,node_15_B)¡¢(node_01_A,node_15_B)",1,0,1470
13,node_01_A,"(node_01_C,node_21_A)¡¢(node_01_B,node_21_A)¡¢(node_01_A,node_21_A)",1,0,593
14,node_01_A,"(node_01_C,node_07_C)¡¢(node_01_A,node_07_C)",1,0,1295
15,node_01_A,"(node_01_C,node_17_A)¡¢(node_01_B,node_17_A)¡¢(node_01_A,node_17_A)",1,0,605
16,node_01_A,"(node_01_C,node_08_A)¡¢(node_01_B,node_08_A)¡¢(node_01_A,node_08_A)",1,0,1746
17,node_01_A,"(node_01_A,node_02_A)",1,0,1019
18,node_01_A,"(node_01_C,node_10_B)¡¢(node_01_B,node_10_B)¡¢(node_01_A,node_10_B)",1,0,1299
19,node_01_A,"(node_01_C,node_16_A)¡¢(node_01_A,node_16_A)",1,0,1358
20,node_01_A,"(node_01_C,node_21_B)¡¢(node_01_B,node_21_B)¡¢(node_01_A,node_21_B)",1,0,728
21,node_01_A,"(node_01_A,node_02_C)",1,0,2223
22,node_01_A,"(node_01_A,node_17_C)¡¢(node_01_C,node_17_C)¡¢(node_01_B,node_17_C)",1,0,1472
