origin,des,type,size,flow,extra,dis
node_27_C,node_11_B,Normal,6641,1,0,4
node_11_C,node_02_A,Normal,982,1,0,3
node_05_B,node_15_B,Normal,985,1,0,4
node_08_A,node_19_B,Normal,79,1,1,2
node_26_B,node_23_C,Normal,267,1,0,4
node_15_C,node_11_A,Normal,3135,1,0,3
node_13_A,node_17_A,Normal,97,1,0,1
node_12_B,node_14_C,Normal,1040,1,0,4
node_12_A,node_16_B,Normal,693,1,0,2
node_13_B,node_20_A,Normal,131,1,0,3
node_03_A,node_17_C,Normal,132,1,0,2
node_20_A,node_04_B,Normal,9534,1,0,2
node_07_C,node_25_C,Normal,7,1,1,4
node_02_A,node_19_B,Normal,16,1,1,2
node_08_A,node_05_C,Normal,675,1,0,2
node_26_C,node_09_A,Normal,374,1,0,3
node_01_B,node_11_C,Normal,920,1,0,4
node_13_C,node_08_C,Normal,166,1,0,4
node_27_A,node_19_A,Normal,441,1,0,1
node_03_C,node_20_C,Normal,196,1,0,4
node_05_B,node_11_C,Normal,1322,1,0,4
node_14_B,node_27_B,Normal,88596,1,0,4
node_08_A,node_25_A,Normal,43,1,1,1
node_12_B,node_23_C,Normal,1210,1,0,4
node_20_C,node_04_C,Normal,5423,1,0,4
node_04_C,node_02_A,Normal,2984,1,0,3
node_07_C,node_11_A,Normal,331,1,0,3
node_14_B,node_16_B,Normal,10282,1,0,4
node_15_B,node_25_B,Normal,22,1,1,4
node_10_B,node_14_B,Normal,989,1,0,4
node_08_B,node_11_C,Normal,2844,1,0,4
node_23_A,node_14_A,Normal,1804,1,0,1
node_22_A,node_17_C,Normal,3075,1,0,2
node_22_B,node_15_C,Normal,159,1,0,4
node_12_A,node_11_C,Normal,2784,1,0,2
node_11_B,node_08_C,Normal,1116,1,0,4
node_01_B,node_23_A,Normal,4222,1,0,3
node_23_C,node_25_A,Normal,3,1,1,3
node_03_A,node_19_B,Normal,272,1,0,2
node_02_C,node_21_C,Normal,3974,1,0,4
node_03_C,node_22_C,Normal,146,1,0,4
node_18_A,node_27_A,Normal,463,1,0,1
node_02_C,node_18_C,Normal,438,1,1,4
node_05_C,node_02_C,Normal,962,1,0,4
node_14_C,node_01_A,Normal,2364,1,0,3
node_16_A,node_20_B,Normal,2240,1,0,2
node_03_C,node_20_B,Normal,192,1,0,4
node_01_C,node_14_C,Normal,4445,1,0,4
node_12_A,node_15_B,Normal,1475,1,0,2
node_21_C,node_09_C,Normal,945,1,0,4
node_13_C,node_12_B,Normal,127,1,0,4
