ID,code,plan,cnt,fast_product_quantity,normal_product_quantity
1,node_01_A,"(node_01_A,node_26_C)",1,31,0
2,node_01_A,"(node_01_A,node_26_C)",1,0,1061
3,node_01_A,"(node_01_A,node_18_A)",1,12,0
4,node_01_A,"(node_01_A,node_18_A)",1,0,262
5,node_01_A,"(node_01_A,node_14_A)",1,0,2620
6,node_01_A,"(node_01_A,node_10_A)",1,33,0
7,node_01_A,"(node_01_A,node_10_A)",1,0,361
8,node_01_A,"(node_01_A,node_12_A)",1,95,0
9,node_01_A,"(node_01_A,node_12_A)",1,0,955
10,node_01_A,"(node_01_A,node_08_B)",1,151,0
11,node_01_A,"(node_01_A,node_08_B)",1,0,3059
12,node_01_A,"(node_01_A,node_19_B)",1,3,0
13,node_01_A,"(node_01_A,node_19_B)",1,0,40
14,node_01_A,"(node_01_A,node_05_B)",1,77,0
15,node_01_A,"(node_01_A,node_05_B)",1,0,1421
16,node_01_A,"(node_01_A,node_09_B)",1,105,0
17,node_01_A,"(node_01_A,node_09_B)",1,0,1928
18,node_01_A,"(node_01_A,node_23_C)",1,63,0
19,node_01_A,"(node_01_A,node_23_C)",1,0,1796
20,node_01_A,"(node_01_A,node_10_B)",1,24,0
21,node_01_A,"(node_01_A,node_10_B)",1,0,354
22,node_01_A,"(node_01_A,node_06_A)",1,34,0
23,node_01_A,"(node_01_A,node_06_A)",1,0,474
24,node_01_A,"(node_01_A,node_13_A)",1,28,0
25,node_01_A,"(node_01_A,node_13_A)",1,0,430
26,node_01_A,"(node_01_A,node_04_A)",1,201,0
27,node_01_A,"(node_01_A,node_04_A)",1,0,3819
28,node_01_A,"(node_01_A,node_13_B)",1,11,0
29,node_01_A,"(node_01_A,node_13_B)",1,0,336
30,node_01_A,"(node_01_A,node_17_A)",1,18,0
31,node_01_A,"(node_01_A,node_17_A)",1,0,200
32,node_01_A,"(node_01_A,node_23_A)",1,182,0
33,node_01_A,"(node_01_A,node_23_A)",1,0,2390
34,node_01_A,"(node_01_A,node_14_B)",1,9,0
35,node_01_A,"(node_01_A,node_14_B)",1,0,10289
36,node_01_A,"(node_01_A,node_11_B)",1,58,0
37,node_01_A,"(node_01_A,node_11_B)",1,0,978
38,node_01_A,"(node_01_A,node_09_C)",1,84,0
39,node_01_A,"(node_01_A,node_09_C)",1,0,1500
40,node_01_A,"(node_01_A,node_26_B)",1,10,0
41,node_01_A,"(node_01_A,node_26_B)",1,0,363
42,node_01_A,"(node_01_A,node_17_C)",1,25,0
43,node_01_A,"(node_01_A,node_17_C)",1,0,452
44,node_01_A,"(node_01_A,node_21_A)",1,33,0
45,node_01_A,"(node_01_A,node_21_A)",1,0,226
46,node_01_A,"(node_01_A,node_23_B)",1,19,0
47,node_01_A,"(node_01_A,node_23_B)",1,0,634
48,node_01_A,"(node_01_A,node_15_A)",1,107,0
49,node_01_A,"(node_01_A,node_15_A)",1,0,230
50,node_01_A,"(node_01_A,node_11_A)",1,185,0
51,node_01_A,"(node_01_A,node_11_A)",1,0,1606
52,node_01_A,"(node_01_A,node_02_C)",1,89,0
53,node_01_A,"(node_01_A,node_02_C)",1,0,2223
54,node_01_A,"(node_01_A,node_18_B)",1,2,0
55,node_01_A,"(node_01_A,node_18_B)",1,0,114
56,node_01_A,"(node_01_A,node_17_B)",1,31,0
57,node_01_A,"(node_01_A,node_17_B)",1,0,405
58,node_01_A,"(node_01_A,node_05_C)",1,14,0
59,node_01_A,"(node_01_A,node_05_C)",1,0,329
60,node_01_A,"(node_01_A,node_19_C)",1,0,26
61,node_01_A,"(node_01_A,node_07_C)",1,25,0
62,node_01_A,"(node_01_A,node_07_C)",1,0,620
63,node_01_A,"(node_01_A,node_22_C)",1,17,0
64,node_01_A,"(node_01_A,node_22_C)",1,0,711
65,node_01_A,"(node_01_A,node_03_B)",1,18,0
66,node_01_A,"(node_01_A,node_03_B)",1,0,396
67,node_01_A,"(node_01_A,node_20_C)",1,124,0
68,node_01_A,"(node_01_A,node_20_C)",1,0,1609
69,node_01_A,"(node_01_A,node_21_B)",1,43,0
70,node_01_A,"(node_01_A,node_21_B)",1,0,260
71,node_01_A,"(node_01_A,node_21_C)",1,44,0
72,node_01_A,"(node_01_A,node_21_C)",1,0,425
73,node_01_A,"(node_01_A,node_27_B)",1,1,0
74,node_01_A,"(node_01_A,node_27_B)",1,0,8711
75,node_01_A,"(node_01_A,node_04_C)",1,101,0
76,node_01_A,"(node_01_A,node_04_C)",1,0,1716
77,node_01_A,"(node_01_A,node_14_C)",1,0,2567
78,node_01_A,"(node_01_A,node_06_B)",1,26,0
79,node_01_A,"(node_01_A,node_06_B)",1,0,944
80,node_01_A,"(node_01_A,node_08_C)",1,22,0
81,node_01_A,"(node_01_A,node_08_C)",1,0,734
82,node_01_A,"(node_01_A,node_08_A)",1,79,0
83,node_01_A,"(node_01_A,node_08_A)",1,0,587
84,node_01_A,"(node_01_A,node_20_B)",1,288,0
85,node_01_A,"(node_01_A,node_20_B)",1,0,2010
86,node_01_A,"(node_01_A,node_27_C)",1,3,0
87,node_01_A,"(node_01_A,node_27_C)",1,0,6174
88,node_01_A,"(node_01_A,node_24_C)",1,0,9
89,node_01_A,"(node_01_A,node_02_B)",1,100,0
90,node_01_A,"(node_01_A,node_02_B)",1,0,1326
91,node_01_A,"(node_01_A,node_27_A)",1,0,4568
92,node_01_A,"(node_01_A,node_03_C)",1,23,0
93,node_01_A,"(node_01_A,node_03_C)",1,0,401
94,node_01_A,"(node_01_A,node_12_C)",1,40,0
95,node_01_A,"(node_01_A,node_12_C)",1,0,998
96,node_01_A,"(node_01_A,node_24_B)",1,1,0
97,node_01_A,"(node_01_A,node_24_B)",1,0,26
98,node_01_A,"(node_01_A,node_03_A)",1,23,0
99,node_01_A,"(node_01_A,node_03_A)",1,0,482
100,node_01_A,"(node_01_A,node_15_B)",1,143,0
101,node_01_A,"(node_01_A,node_15_B)",1,0,664
102,node_01_A,"(node_01_A,node_11_C)",1,77,0
103,node_01_A,"(node_01_A,node_11_C)",1,0,1121
104,node_01_A,"(node_01_A,node_09_A)",1,104,0
105,node_01_A,"(node_01_A,node_09_A)",1,0,1188
106,node_01_A,"(node_01_A,node_22_A)",1,101,0
107,node_01_A,"(node_01_A,node_22_A)",1,0,1557
108,node_01_A,"(node_01_A,node_07_B)",1,20,0
109,node_01_A,"(node_01_A,node_07_B)",1,0,295
110,node_01_A,"(node_01_A,node_18_C)",1,2,0
111,node_01_A,"(node_01_A,node_18_C)",1,0,67
112,node_01_A,"(node_01_A,node_20_A)",1,71,0
113,node_01_A,"(node_01_A,node_20_A)",1,0,681
114,node_01_A,"(node_01_A,node_25_B)",1,84,0
115,node_01_A,"(node_01_A,node_25_B)",1,0,237
116,node_01_A,"(node_01_A,node_16_C)",1,18,0
117,node_01_A,"(node_01_A,node_16_C)",1,0,427
118,node_01_A,"(node_01_A,node_10_C)",1,11,0
119,node_01_A,"(node_01_A,node_10_C)",1,0,204
120,node_01_A,"(node_01_A,node_25_C)",1,52,0
121,node_01_A,"(node_01_A,node_25_C)",1,0,127
122,node_01_A,"(node_01_A,node_25_A)",1,77,0
123,node_01_A,"(node_01_A,node_25_A)",1,0,130
124,node_01_A,"(node_01_A,node_04_B)",1,724,0
125,node_01_A,"(node_01_A,node_04_B)",1,0,9765
126,node_01_A,"(node_01_A,node_12_B)",1,66,0
127,node_01_A,"(node_01_A,node_12_B)",1,0,1340
128,node_01_A,"(node_01_A,node_16_A)",1,52,0
129,node_01_A,"(node_01_A,node_16_A)",1,0,661
130,node_01_A,"(node_01_A,node_26_A)",1,43,0
131,node_01_A,"(node_01_A,node_26_A)",1,0,743
132,node_01_A,"(node_01_A,node_19_A)",1,22,0
133,node_01_A,"(node_01_A,node_19_A)",1,0,127
134,node_01_A,"(node_01_A,node_06_C)",1,4,0
135,node_01_A,"(node_01_A,node_06_C)",1,0,211
136,node_01_A,"(node_01_A,node_15_C)",1,105,0
137,node_01_A,"(node_01_A,node_15_C)",1,0,460
138,node_01_A,"(node_01_A,node_22_B)",1,19,0
139,node_01_A,"(node_01_A,node_22_B)",1,0,482
140,node_01_A,"(node_01_A,node_16_B)",1,54,0
141,node_01_A,"(node_01_A,node_16_B)",1,0,859
142,node_01_A,"(node_01_A,node_24_A)",1,10,0
143,node_01_A,"(node_01_A,node_24_A)",1,0,20
144,node_01_A,"(node_01_A,node_02_A)",1,63,0
145,node_01_A,"(node_01_A,node_02_A)",1,0,1019
146,node_01_A,"(node_01_A,node_13_C)",1,3,0
147,node_01_A,"(node_01_A,node_13_C)",1,0,195
148,node_01_B,"(node_01_B,node_26_C)",1,37,0
149,node_01_B,"(node_01_B,node_26_C)",1,0,1471
150,node_01_B,"(node_01_B,node_18_A)",1,12,0
151,node_01_B,"(node_01_B,node_18_A)",1,0,352
152,node_01_B,"(node_01_B,node_14_A)",1,1,0
153,node_01_B,"(node_01_B,node_14_A)",1,0,3308
154,node_01_B,"(node_01_B,node_12_A)",1,65,0
155,node_01_B,"(node_01_B,node_12_A)",1,0,1390
156,node_01_B,"(node_01_B,node_27_A)",1,0,5440
157,node_01_B,"(node_01_B,node_08_B)",1,210,0
158,node_01_B,"(node_01_B,node_08_B)",1,0,4663
159,node_01_B,"(node_01_B,node_24_B)",1,3,0
160,node_01_B,"(node_01_B,node_24_B)",1,0,14
161,node_01_B,"(node_01_B,node_09_B)",1,102,0
162,node_01_B,"(node_01_B,node_09_B)",1,0,1942
163,node_01_B,"(node_01_B,node_23_C)",1,68,0
164,node_01_B,"(node_01_B,node_23_C)",1,0,3142
165,node_01_B,"(node_01_B,node_10_B)",1,32,0
166,node_01_B,"(node_01_B,node_10_B)",1,0,460
167,node_01_B,"(node_01_B,node_04_A)",1,192,0
168,node_01_B,"(node_01_B,node_04_A)",1,0,5459
169,node_01_B,"(node_01_B,node_13_B)",1,12,0
170,node_01_B,"(node_01_B,node_13_B)",1,0,255
171,node_01_B,"(node_01_B,node_23_A)",1,111,0
172,node_01_B,"(node_01_B,node_23_A)",1,0,4222
173,node_01_B,"(node_01_B,node_09_C)",1,67,0
174,node_01_B,"(node_01_B,node_09_C)",1,0,1301
175,node_01_B,"(node_01_B,node_26_B)",1,10,0
176,node_01_B,"(node_01_B,node_26_B)",1,0,526
177,node_01_B,"(node_01_B,node_17_C)",1,33,0
178,node_01_B,"(node_01_B,node_17_C)",1,0,469
179,node_01_B,"(node_01_B,node_06_C)",1,6,0
180,node_01_B,"(node_01_B,node_06_C)",1,0,306
181,node_01_B,"(node_01_B,node_15_A)",1,87,0
182,node_01_B,"(node_01_B,node_15_A)",1,0,203
183,node_01_B,"(node_01_B,node_11_A)",1,130,0
184,node_01_B,"(node_01_B,node_11_A)",1,0,1314
185,node_01_B,"(node_01_B,node_02_C)",1,130,0
186,node_01_B,"(node_01_B,node_02_C)",1,0,3633
187,node_01_B,"(node_01_B,node_16_B)",1,59,0
188,node_01_B,"(node_01_B,node_16_B)",1,0,1942
189,node_01_B,"(node_01_B,node_18_B)",1,4,0
190,node_01_B,"(node_01_B,node_18_B)",1,0,174
191,node_01_B,"(node_01_B,node_02_A)",1,56,0
192,node_01_B,"(node_01_B,node_02_A)",1,0,1535
193,node_01_B,"(node_01_B,node_17_B)",1,36,0
194,node_01_B,"(node_01_B,node_17_B)",1,0,406
195,node_01_B,"(node_01_B,node_19_C)",1,1,0
196,node_01_B,"(node_01_B,node_19_C)",1,0,29
197,node_01_B,"(node_01_B,node_07_C)",1,23,0
198,node_01_B,"(node_01_B,node_07_C)",1,0,1154
199,node_01_B,"(node_01_B,node_22_C)",1,34,0
200,node_01_B,"(node_01_B,node_22_C)",1,0,887
201,node_01_B,"(node_01_B,node_03_B)",1,21,0
202,node_01_B,"(node_01_B,node_03_B)",1,0,338
203,node_01_B,"(node_01_B,node_20_C)",1,140,0
204,node_01_B,"(node_01_B,node_20_C)",1,0,1685
205,node_01_B,"(node_01_B,node_21_B)",1,47,0
206,node_01_B,"(node_01_B,node_21_B)",1,0,260
207,node_01_B,"(node_01_B,node_10_A)",1,31,0
208,node_01_B,"(node_01_B,node_10_A)",1,0,409
209,node_01_B,"(node_01_B,node_19_B)",1,4,0
210,node_01_B,"(node_01_B,node_19_B)",1,0,35
211,node_01_B,"(node_01_B,node_21_C)",1,49,0
212,node_01_B,"(node_01_B,node_21_C)",1,0,381
213,node_01_B,"(node_01_B,node_27_B)",1,6,0
214,node_01_B,"(node_01_B,node_27_B)",1,0,11499
215,node_01_B,"(node_01_B,node_05_B)",1,72,0
216,node_01_B,"(node_01_B,node_05_B)",1,0,2961
217,node_01_B,"(node_01_B,node_04_C)",1,120,0
218,node_01_B,"(node_01_B,node_04_C)",1,0,3270
219,node_01_B,"(node_01_B,node_06_A)",1,24,0
220,node_01_B,"(node_01_B,node_06_A)",1,0,788
221,node_01_B,"(node_01_B,node_13_A)",1,34,0
222,node_01_B,"(node_01_B,node_13_A)",1,0,340
223,node_01_B,"(node_01_B,node_14_C)",1,0,2976
224,node_01_B,"(node_01_B,node_06_B)",1,47,0
225,node_01_B,"(node_01_B,node_06_B)",1,0,1249
226,node_01_B,"(node_01_B,node_08_C)",1,30,0
227,node_01_B,"(node_01_B,node_08_C)",1,0,1139
228,node_01_B,"(node_01_B,node_17_A)",1,16,0
229,node_01_B,"(node_01_B,node_17_A)",1,0,192
230,node_01_B,"(node_01_B,node_14_B)",1,8,0
231,node_01_B,"(node_01_B,node_14_B)",1,0,12202
232,node_01_B,"(node_01_B,node_08_A)",1,73,0
